Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Nick Vigil,CIN,PIT,2017-12-04,2017,13,Injured Reserve,Ankle,,
Nick Vigil,CIN,CHI,2017-12-10,2017,14,Out,Ankle,,
Nick Vigil,CIN,MIN,2017-12-17,2017,15,Out,Ankle,,
Nick Vigil,CIN,DET,2017-12-24,2017,16,Out,Ankle,,
Nick Vigil,CIN,BAL,2017-12-31,2017,17,Injured Reserve,Ankle,,
Nick Vigil,CIN,KAN,2018-10-21,2018,7,Out,Knee,,
Nick Vigil,CIN,TAM,2018-10-28,2018,8,Out,Knee,,
Nick Vigil,CIN,NOR,2018-11-11,2018,10,Out,Knee,,
Nick Vigil,CIN,BAL,2018-11-18,2018,11,Out,Knee,,
Nick Vigil,CIN,CLE,2018-11-25,2018,12,Out,Knee,,
Nick Vigil,CIN,NYJ,2019-12-01,2019,13,Questionable,Ankle,,
Nick Vigil,LAC,CAR,2020-09-27,2020,3,Doubtful,Groin,,
Nick Vigil,LAC,TAM,2020-10-04,2020,4,Questionable,Groin,,
