Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Noah Spence,TAM,CAR,2016-10-10,2016,5,Questionable,shoulder,,
Noah Spence,TAM,NYG,2017-10-01,2017,4,Questionable,Shoulder,,
Noah Spence,TAM,BUF,2017-10-22,2017,7,Questionable,Shoulder,,
Noah Spence,TAM,CAR,2017-10-29,2017,8,Injured Reserve,Shoulder,,
Noah Spence,TAM,NOR,2017-11-05,2017,9,Injured Reserve,Shoulder,,
Noah Spence,TAM,NYJ,2017-11-12,2017,10,Injured Reserve,Shoulder,,
Noah Spence,TAM,MIA,2017-11-19,2017,11,Injured Reserve,Shoulder,,
Noah Spence,TAM,ATL,2017-11-26,2017,12,Injured Reserve,Shoulder,,
Noah Spence,TAM,GNB,2017-12-03,2017,13,Injured Reserve,Shoulder,,
Noah Spence,TAM,DET,2017-12-10,2017,14,Injured Reserve,Shoulder,,
Noah Spence,TAM,ATL,2017-12-18,2017,15,Injured Reserve,Shoulder,,
Noah Spence,TAM,CAR,2017-12-24,2017,16,Injured Reserve,Shoulder,,
Noah Spence,TAM,NOR,2017-12-31,2017,17,Injured Reserve,Shoulder,,
Noah Spence,NOR,LVR,2020-09-21,2020,2,Injured Reserve,,,
Noah Spence,NOR,GNB,2020-09-27,2020,3,Injured Reserve,,,
Noah Spence,NOR,DET,2020-10-04,2020,4,Injured Reserve,,,
Noah Spence,NOR,LAC,2020-10-12,2020,5,Injured Reserve,,,
Noah Spence,NOR,CAR,2020-10-25,2020,7,Injured Reserve,,,
Noah Spence,NOR,CHI,2020-11-01,2020,8,Injured Reserve,,,
Noah Spence,NOR,TAM,2020-11-08,2020,9,Injured Reserve,,,
Noah Spence,NOR,SFO,2020-11-15,2020,10,Injured Reserve,,,
Noah Spence,NOR,ATL,2020-11-22,2020,11,Injured Reserve,,,
Noah Spence,NOR,DEN,2020-11-29,2020,12,Injured Reserve,,,
Noah Spence,NOR,ATL,2020-12-06,2020,13,Injured Reserve,,,
Noah Spence,NOR,PHI,2020-12-13,2020,14,Injured Reserve,,,
Noah Spence,NOR,KAN,2020-12-20,2020,15,Injured Reserve,,,
Noah Spence,NOR,MIN,2020-12-25,2020,16,Injured Reserve,,,
Noah Spence,NOR,CAR,2021-01-03,2020,17,Injured Reserve,,,
