Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
O.J. Howard,TAM,CAR,2017-12-24,2017,16,Injured Reserve,Ankle,,
O.J. Howard,TAM,NOR,2017-12-31,2017,17,Injured Reserve,Ankle,,
O.J. Howard,TAM,ATL,2018-10-14,2018,6,Questionable,Knee,,
O.J. Howard,TAM,SFO,2018-11-25,2018,12,Injured Reserve,Ankle,,
O.J. Howard,TAM,CAR,2018-12-02,2018,13,Injured Reserve,Ankle,,
O.J. Howard,TAM,NOR,2018-12-09,2018,14,Injured Reserve,Ankle,,
O.J. Howard,TAM,BAL,2018-12-16,2018,15,Injured Reserve,Ankle,,
O.J. Howard,TAM,DAL,2018-12-23,2018,16,Injured Reserve,Ankle,,
O.J. Howard,TAM,ATL,2018-12-30,2018,17,Injured Reserve,Ankle,,
O.J. Howard,TAM,TEN,2019-10-27,2019,8,Out,Hamstring,,
O.J. Howard,TAM,SEA,2019-11-03,2019,9,Out,Hamstring,,
O.J. Howard,TAM,CHI,2020-10-08,2020,5,Injured Reserve,,,
O.J. Howard,TAM,GNB,2020-10-18,2020,6,Injured Reserve,,,
O.J. Howard,TAM,LVR,2020-10-25,2020,7,Injured Reserve,,,
O.J. Howard,TAM,NYG,2020-11-02,2020,8,Injured Reserve,,,
O.J. Howard,TAM,NOR,2020-11-08,2020,9,Injured Reserve,,,
O.J. Howard,TAM,CAR,2020-11-15,2020,10,Injured Reserve,,,
O.J. Howard,TAM,LAR,2020-11-23,2020,11,Injured Reserve,,,
O.J. Howard,TAM,KAN,2020-11-29,2020,12,Injured Reserve,,,
O.J. Howard,TAM,MIN,2020-12-13,2020,14,Injured Reserve,,,
O.J. Howard,TAM,ATL,2020-12-20,2020,15,Injured Reserve,,,
O.J. Howard,TAM,DET,2020-12-26,2020,16,Injured Reserve,,,
O.J. Howard,TAM,ATL,2021-01-03,2020,17,Injured Reserve,,,
