Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Phillip Dorsett,IND,JAX,2016-10-02,2016,4,Questionable,ankle,,
Phillip Dorsett,IND,TEN,2016-10-23,2016,7,Out,"foot, hamstring",,
Phillip Dorsett,IND,MIN,2016-12-18,2016,15,Questionable,groin,,
Phillip Dorsett,NWE,HOU,2017-09-24,2017,3,Questionable,Knee,,
Phillip Dorsett,NWE,NYG,2019-10-10,2019,6,Out,Hamstring,,
Phillip Dorsett,NWE,NYJ,2019-10-21,2019,7,Questionable,Hamstring,,
Phillip Dorsett,NWE,DAL,2019-11-24,2019,12,Questionable,Concussion,,
Phillip Dorsett,NWE,HOU,2019-12-01,2019,13,Questionable,Concussion,,
Phillip Dorsett,SEA,ATL,2020-09-13,2020,1,Questionable,Foot,,
Phillip Dorsett,SEA,NWE,2020-09-20,2020,2,Questionable,Foot,,
Phillip Dorsett,SEA,DAL,2020-09-27,2020,3,Injured Reserve,,,
Phillip Dorsett,SEA,MIA,2020-10-04,2020,4,Injured Reserve,,,
Phillip Dorsett,SEA,MIN,2020-10-11,2020,5,Injured Reserve,,,
Phillip Dorsett,SEA,ARI,2020-10-25,2020,7,Injured Reserve,,,
Phillip Dorsett,SEA,SFO,2020-11-01,2020,8,Injured Reserve,,,
Phillip Dorsett,SEA,BUF,2020-11-08,2020,9,Injured Reserve,,,
Phillip Dorsett,SEA,LAR,2020-11-15,2020,10,Injured Reserve,,,
Phillip Dorsett,SEA,ARI,2020-11-19,2020,11,Injured Reserve,,,
Phillip Dorsett,SEA,PHI,2020-11-30,2020,12,Injured Reserve,,,
Phillip Dorsett,SEA,NYG,2020-12-06,2020,13,Injured Reserve,,,
Phillip Dorsett,SEA,NYJ,2020-12-13,2020,14,Injured Reserve,,,
Phillip Dorsett,SEA,WAS,2020-12-20,2020,15,Injured Reserve,,,
Phillip Dorsett,SEA,LAR,2020-12-27,2020,16,Injured Reserve,,,
Phillip Dorsett,SEA,SFO,2021-01-03,2020,17,Injured Reserve,,,
