Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Reuben Foster,SFO,SEA,2017-09-17,2017,2,Out,Ankle,,
Reuben Foster,SFO,LAR,2017-09-21,2017,3,Out,Ankle,,
Reuben Foster,SFO,ARI,2017-10-01,2017,4,Out,Ankle,,
Reuben Foster,SFO,IND,2017-10-08,2017,5,Out,Ankle,,
Reuben Foster,SFO,WAS,2017-10-15,2017,6,Questionable,Ankle,,
Reuben Foster,SFO,DAL,2017-10-22,2017,7,Questionable,Ankle,,
Reuben Foster,SFO,PHI,2017-10-29,2017,8,Questionable,Ankle,,
Reuben Foster,SFO,ARI,2017-11-05,2017,9,Questionable,Ribs,,
Reuben Foster,SFO,OAK,2018-11-01,2018,9,Out,Hamstring,,
Reuben Foster,SFO,NYG,2018-11-12,2018,10,Out,Hamstring,,
Reuben Foster,SFO,TAM,2018-11-25,2018,12,Questionable,Hamstring,,
Reuben Foster,WAS,PHI,2019-09-08,2019,1,Injured Reserve,,,
Reuben Foster,WAS,DAL,2019-09-15,2019,2,Injured Reserve,,,
Reuben Foster,WAS,CHI,2019-09-23,2019,3,Injured Reserve,,,
Reuben Foster,WAS,NYG,2019-09-29,2019,4,Injured Reserve,,,
Reuben Foster,WAS,NWE,2019-10-06,2019,5,Injured Reserve,,,
Reuben Foster,WAS,MIA,2019-10-13,2019,6,Injured Reserve,,,
Reuben Foster,WAS,SFO,2019-10-20,2019,7,Injured Reserve,,,
Reuben Foster,WAS,MIN,2019-10-24,2019,8,Injured Reserve,,,
Reuben Foster,WAS,BUF,2019-11-03,2019,9,Injured Reserve,,,
Reuben Foster,WAS,NYJ,2019-11-17,2019,11,Injured Reserve,,,
Reuben Foster,WAS,DET,2019-11-24,2019,12,Injured Reserve,,,
Reuben Foster,WAS,CAR,2019-12-01,2019,13,Injured Reserve,,,
Reuben Foster,WAS,GNB,2019-12-08,2019,14,Injured Reserve,,,
Reuben Foster,WAS,PHI,2019-12-15,2019,15,Injured Reserve,,,
Reuben Foster,WAS,NYG,2019-12-22,2019,16,Injured Reserve,,,
Reuben Foster,WAS,DAL,2019-12-29,2019,17,Injured Reserve,,,
Reuben Foster,WAS,DET,2020-11-15,2020,10,Injured Reserve,,,
