Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Ricardo Allen,ATL,BUF,2017-10-01,2017,4,Out,Concussion,,
Ricardo Allen,ATL,CIN,2018-09-30,2018,4,Injured Reserve,Achilles,,
Ricardo Allen,ATL,PIT,2018-10-07,2018,5,Injured Reserve,Achilles,,
Ricardo Allen,ATL,TAM,2018-10-14,2018,6,Injured Reserve,Achilles,,
Ricardo Allen,ATL,NYG,2018-10-22,2018,7,Injured Reserve,Achilles,,
Ricardo Allen,ATL,WAS,2018-11-04,2018,9,Injured Reserve,Achilles,,
Ricardo Allen,ATL,CLE,2018-11-11,2018,10,Injured Reserve,Achilles,,
Ricardo Allen,ATL,DAL,2018-11-18,2018,11,Injured Reserve,Achilles,,
Ricardo Allen,ATL,NOR,2018-11-22,2018,12,Injured Reserve,Achilles,,
Ricardo Allen,ATL,BAL,2018-12-02,2018,13,Injured Reserve,Achilles,,
Ricardo Allen,ATL,GNB,2018-12-09,2018,14,Injured Reserve,Achilles,,
Ricardo Allen,ATL,ARI,2018-12-16,2018,15,Injured Reserve,Achilles,,
Ricardo Allen,ATL,CAR,2018-12-23,2018,16,Injured Reserve,Achilles,,
Ricardo Allen,ATL,TAM,2018-12-30,2018,17,Injured Reserve,Achilles,,
Ricardo Allen,ATL,CHI,2020-09-27,2020,3,Out,Elbow,,
Ricardo Allen,ATL,GNB,2020-10-05,2020,4,Out,Elbow,,
Ricardo Allen,ATL,LAC,2020-12-13,2020,14,Out,Concussion,,
Ricardo Allen,ATL,TAM,2020-12-20,2020,15,Out,Concussion,,
Ricardo Allen,ATL,KAN,2020-12-27,2020,16,Questionable,Concussion,,
