Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Ricky Wagner,DET,CAR,2017-10-08,2017,5,Questionable,Ankle,,
Ricky Wagner,DET,NOR,2017-10-15,2017,6,Questionable,Shoulder,,
Ricky Wagner,DET,TAM,2017-12-10,2017,14,Out,Ankle,,
Ricky Wagner,DET,CHI,2017-12-16,2017,15,Out,Ankle,,
Ricky Wagner,DET,CIN,2017-12-24,2017,16,Questionable,Ankle,,
Ricky Wagner,DET,BUF,2018-12-16,2018,15,Out,Concussion,,
Ricky Wagner,DET,MIN,2019-10-20,2019,7,Questionable,Knee,,
Ricky Wagner,DET,DAL,2019-11-17,2019,11,Out,Concussion,,
Ricky Wagner,DET,TAM,2019-12-15,2019,15,Out,Knee,,
Ricky Wagner,DET,DEN,2019-12-22,2019,16,Out,Knee,,
Ricky Wagner,DET,GNB,2019-12-29,2019,17,Questionable,Knee,,
Ricky Wagner,GNB,SFO,2020-11-05,2020,9,Questionable,Knee,,
Ricky Wagner,GNB,JAX,2020-11-15,2020,10,Questionable,Knee,,
