Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Ron Brooks,PHI,MIN,2016-10-23,2016,7,Questionable,calf,,
Ron Brooks,PHI,DAL,2016-10-30,2016,8,Injured Reserve,Quadricep,,
Ron Brooks,PHI,NYG,2016-11-06,2016,9,Injured Reserve,Quadricep,,
Ron Brooks,PHI,ATL,2016-11-13,2016,10,Injured Reserve,Quadricep,,
Ron Brooks,PHI,SEA,2016-11-20,2016,11,Injured Reserve,Quadricep,,
Ron Brooks,PHI,GNB,2016-11-28,2016,12,Injured Reserve,Quadricep,,
Ron Brooks,PHI,CIN,2016-12-04,2016,13,Injured Reserve,Quadricep,,
Ron Brooks,PHI,WAS,2016-12-11,2016,14,Injured Reserve,Quadricep,,
Ron Brooks,PHI,BAL,2016-12-18,2016,15,Injured Reserve,Quadricep,,
Ron Brooks,PHI,NYG,2016-12-22,2016,16,Injured Reserve,Quadricep,,
Ron Brooks,PHI,DAL,2017-01-01,2016,17,Injured Reserve,Quadricep,,
