Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Ronald Powell,SEA,GNB,2017-09-10,2017,1,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,SFO,2017-09-17,2017,2,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,TEN,2017-09-24,2017,3,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,IND,2017-10-01,2017,4,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,LAR,2017-10-08,2017,5,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,NYG,2017-10-22,2017,7,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,HOU,2017-10-29,2017,8,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,WAS,2017-11-05,2017,9,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,ARI,2017-11-09,2017,10,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,ATL,2017-11-20,2017,11,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,SFO,2017-11-26,2017,12,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,PHI,2017-12-03,2017,13,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,JAX,2017-12-10,2017,14,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,LAR,2017-12-17,2017,15,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,DAL,2017-12-24,2017,16,Injured Reserve,Undisclosed,,
Ronald Powell,SEA,ARI,2017-12-31,2017,17,Injured Reserve,Undisclosed,,
