Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Ryan Glasgow,CIN,ATL,2018-09-30,2018,4,Injured Reserve,Knee,,
Ryan Glasgow,CIN,MIA,2018-10-07,2018,5,Injured Reserve,Knee,,
Ryan Glasgow,CIN,PIT,2018-10-14,2018,6,Injured Reserve,Knee,,
Ryan Glasgow,CIN,KAN,2018-10-21,2018,7,Injured Reserve,Knee,,
Ryan Glasgow,CIN,TAM,2018-10-28,2018,8,Injured Reserve,Knee,,
Ryan Glasgow,CIN,NOR,2018-11-11,2018,10,Injured Reserve,Knee,,
Ryan Glasgow,CIN,BAL,2018-11-18,2018,11,Injured Reserve,Knee,,
Ryan Glasgow,CIN,CLE,2018-11-25,2018,12,Injured Reserve,Knee,,
Ryan Glasgow,CIN,DEN,2018-12-02,2018,13,Injured Reserve,Knee,,
Ryan Glasgow,CIN,LAC,2018-12-09,2018,14,Injured Reserve,Knee,,
Ryan Glasgow,CIN,OAK,2018-12-16,2018,15,Injured Reserve,Knee,,
Ryan Glasgow,CIN,CLE,2018-12-23,2018,16,Injured Reserve,Knee,,
Ryan Glasgow,CIN,PIT,2018-12-30,2018,17,Injured Reserve,Knee,,
Ryan Glasgow,CIN,BUF,2019-09-22,2019,3,Out,Thigh,,
Ryan Glasgow,CIN,PIT,2019-09-30,2019,4,Out,Thigh,,
Ryan Glasgow,CIN,BAL,2019-10-13,2019,6,Out,Thigh,,
Ryan Glasgow,CIN,BAL,2019-11-10,2019,10,Injured Reserve,,,
Ryan Glasgow,CIN,OAK,2019-11-17,2019,11,Injured Reserve,,,
Ryan Glasgow,CIN,PIT,2019-11-24,2019,12,Injured Reserve,,,
Ryan Glasgow,CIN,NYJ,2019-12-01,2019,13,Injured Reserve,,,
Ryan Glasgow,CIN,CLE,2019-12-08,2019,14,Injured Reserve,,,
Ryan Glasgow,CIN,NWE,2019-12-15,2019,15,Injured Reserve,,,
Ryan Glasgow,CIN,MIA,2019-12-22,2019,16,Injured Reserve,,,
Ryan Glasgow,CIN,CLE,2019-12-29,2019,17,Injured Reserve,,,
