Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Ryan Spadola,DET,IND,2016-09-11,2016,1,Injured Reserve,Pectoral,,
Ryan Spadola,DET,TEN,2016-09-18,2016,2,Injured Reserve,Pectoral,,
Ryan Spadola,DET,GNB,2016-09-25,2016,3,Injured Reserve,Pectoral,,
Ryan Spadola,DET,CHI,2016-10-02,2016,4,Injured Reserve,Pectoral,,
Ryan Spadola,DET,PHI,2016-10-09,2016,5,Injured Reserve,Pectoral,,
Ryan Spadola,DET,LAR,2016-10-16,2016,6,Injured Reserve,Pectoral,,
Ryan Spadola,DET,WAS,2016-10-23,2016,7,Injured Reserve,Pectoral,,
Ryan Spadola,DET,HOU,2016-10-30,2016,8,Injured Reserve,Pectoral,,
Ryan Spadola,DET,MIN,2016-11-06,2016,9,Injured Reserve,Pectoral,,
Ryan Spadola,DET,JAX,2016-11-20,2016,11,Injured Reserve,Pectoral,,
Ryan Spadola,DET,MIN,2016-11-24,2016,12,Injured Reserve,Pectoral,,
Ryan Spadola,DET,NOR,2016-12-04,2016,13,Injured Reserve,Pectoral,,
Ryan Spadola,DET,CHI,2016-12-11,2016,14,Injured Reserve,Pectoral,,
Ryan Spadola,DET,NYG,2016-12-18,2016,15,Injured Reserve,Pectoral,,
Ryan Spadola,DET,DAL,2016-12-26,2016,16,Injured Reserve,Pectoral,,
Ryan Spadola,DET,GNB,2017-01-01,2016,17,Injured Reserve,Pectoral,,
Ryan Spadola,DET,ARI,2017-09-10,2017,1,Injured Reserve,Pectoral,,
Ryan Spadola,DET,NYG,2017-09-18,2017,2,Injured Reserve,Pectoral,,
Ryan Spadola,DET,ATL,2017-09-24,2017,3,Injured Reserve,Pectoral,,
Ryan Spadola,DET,MIN,2017-10-01,2017,4,Injured Reserve,Pectoral,,
Ryan Spadola,DET,CAR,2017-10-08,2017,5,Injured Reserve,Pectoral,,
Ryan Spadola,DET,NOR,2017-10-15,2017,6,Injured Reserve,Pectoral,,
Ryan Spadola,DET,PIT,2017-10-29,2017,8,Injured Reserve,Pectoral,,
Ryan Spadola,DET,GNB,2017-11-06,2017,9,Injured Reserve,Pectoral,,
Ryan Spadola,DET,CLE,2017-11-12,2017,10,Injured Reserve,Pectoral,,
Ryan Spadola,DET,CHI,2017-11-19,2017,11,Injured Reserve,Pectoral,,
Ryan Spadola,DET,MIN,2017-11-23,2017,12,Injured Reserve,Pectoral,,
Ryan Spadola,DET,BAL,2017-12-03,2017,13,Injured Reserve,Pectoral,,
Ryan Spadola,DET,TAM,2017-12-10,2017,14,Injured Reserve,Pectoral,,
Ryan Spadola,DET,CHI,2017-12-16,2017,15,Injured Reserve,Pectoral,,
Ryan Spadola,DET,CIN,2017-12-24,2017,16,Injured Reserve,Pectoral,,
Ryan Spadola,DET,GNB,2017-12-31,2017,17,Injured Reserve,Pectoral,,
