Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Saahdiq Charles,WAS,PHI,2020-09-13,2020,1,Questionable,Calf,,
Saahdiq Charles,WAS,CLE,2020-09-27,2020,3,Out,Thigh,,
Saahdiq Charles,WAS,DAL,2020-10-25,2020,7,Injured Reserve,,,
Saahdiq Charles,WAS,NYG,2020-11-08,2020,9,Injured Reserve,,,
Saahdiq Charles,WAS,DET,2020-11-15,2020,10,Injured Reserve,,,
Saahdiq Charles,WAS,CIN,2020-11-22,2020,11,Injured Reserve,,,
Saahdiq Charles,WAS,DAL,2020-11-26,2020,12,Injured Reserve,,,
Saahdiq Charles,WAS,PIT,2020-12-07,2020,13,Injured Reserve,,,
Saahdiq Charles,WAS,SFO,2020-12-13,2020,14,Injured Reserve,,,
Saahdiq Charles,WAS,SEA,2020-12-20,2020,15,Injured Reserve,,,
Saahdiq Charles,WAS,CAR,2020-12-27,2020,16,Injured Reserve,,,
Saahdiq Charles,WAS,PHI,2021-01-03,2020,17,Injured Reserve,,,
