Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Sean Culkin,LAC,CIN,2018-12-09,2018,14,Doubtful,Back,,
Sean Culkin,LAC,KAN,2018-12-13,2018,15,Out,Back,,
Sean Culkin,LAC,BAL,2018-12-22,2018,16,Out,Back,,
Sean Culkin,LAC,DEN,2018-12-30,2018,17,Questionable,Back,,
Sean Culkin,LAC,DEN,2019-10-06,2019,5,Injured Reserve,,,
Sean Culkin,LAC,PIT,2019-10-13,2019,6,Injured Reserve,,,
Sean Culkin,LAC,TEN,2019-10-20,2019,7,Injured Reserve,,,
Sean Culkin,LAC,CHI,2019-10-27,2019,8,Injured Reserve,,,
Sean Culkin,LAC,GNB,2019-11-03,2019,9,Injured Reserve,,,
Sean Culkin,LAC,OAK,2019-11-07,2019,10,Injured Reserve,,,
Sean Culkin,LAC,KAN,2019-11-18,2019,11,Injured Reserve,,,
Sean Culkin,LAC,DEN,2019-12-01,2019,13,Injured Reserve,,,
Sean Culkin,LAC,JAX,2019-12-08,2019,14,Injured Reserve,,,
Sean Culkin,LAC,MIN,2019-12-15,2019,15,Injured Reserve,,,
Sean Culkin,LAC,OAK,2019-12-22,2019,16,Injured Reserve,,,
Sean Culkin,LAC,KAN,2019-12-29,2019,17,Injured Reserve,,,
