Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Sean Davis,PIT,BAL,2017-10-01,2017,4,Questionable,Ankle,,
Sean Davis,PIT,CIN,2018-12-30,2018,17,Questionable,Quadricep,,
Sean Davis,PIT,NWE,2019-09-08,2019,1,Doubtful,Ankle,,
Sean Davis,PIT,SFO,2019-09-22,2019,3,Injured Reserve,,,
Sean Davis,PIT,CIN,2019-09-30,2019,4,Injured Reserve,,,
Sean Davis,PIT,BAL,2019-10-06,2019,5,Injured Reserve,,,
Sean Davis,PIT,LAC,2019-10-13,2019,6,Injured Reserve,,,
Sean Davis,PIT,MIA,2019-10-28,2019,8,Injured Reserve,,,
Sean Davis,PIT,IND,2019-11-03,2019,9,Injured Reserve,,,
Sean Davis,PIT,LAR,2019-11-10,2019,10,Injured Reserve,,,
Sean Davis,PIT,CLE,2019-11-14,2019,11,Injured Reserve,,,
Sean Davis,PIT,CIN,2019-11-24,2019,12,Injured Reserve,,,
Sean Davis,PIT,CLE,2019-12-01,2019,13,Injured Reserve,,,
Sean Davis,PIT,ARI,2019-12-08,2019,14,Injured Reserve,,,
Sean Davis,PIT,BUF,2019-12-15,2019,15,Injured Reserve,,,
Sean Davis,PIT,NYJ,2019-12-22,2019,16,Injured Reserve,,,
Sean Davis,PIT,BAL,2019-12-29,2019,17,Injured Reserve,,,
