Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Seantrel Henderson,BUF,MIA,2016-10-23,2016,7,Out,back,,
Seantrel Henderson,BUF,JAX,2016-11-27,2016,12,Questionable,not football related,,
Seantrel Henderson,BUF,NOR,2017-11-12,2017,10,Questionable,Back,,
Seantrel Henderson,BUF,NWE,2017-12-03,2017,13,Questionable,Illness,,
Seantrel Henderson,BUF,IND,2017-12-10,2017,14,Questionable,Back,,
Seantrel Henderson,HOU,TEN,2018-09-16,2018,2,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,NYG,2018-09-23,2018,3,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,IND,2018-09-30,2018,4,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,DAL,2018-10-07,2018,5,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,BUF,2018-10-14,2018,6,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,JAX,2018-10-21,2018,7,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,MIA,2018-10-25,2018,8,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,DEN,2018-11-04,2018,9,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,WAS,2018-11-18,2018,11,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,TEN,2018-11-26,2018,12,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,CLE,2018-12-02,2018,13,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,IND,2018-12-09,2018,14,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,NYJ,2018-12-15,2018,15,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,PHI,2018-12-23,2018,16,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,JAX,2018-12-30,2018,17,Injured Reserve,Ankle,,
Seantrel Henderson,HOU,CAR,2019-09-29,2019,4,Out,Illness,,
Seantrel Henderson,HOU,IND,2019-10-20,2019,7,Injured Reserve,,,
Seantrel Henderson,HOU,OAK,2019-10-27,2019,8,Injured Reserve,,,
Seantrel Henderson,HOU,JAX,2019-11-03,2019,9,Injured Reserve,,,
Seantrel Henderson,HOU,BAL,2019-11-17,2019,11,Injured Reserve,,,
Seantrel Henderson,HOU,IND,2019-11-21,2019,12,Injured Reserve,,,
