Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Shareece Wright,BAL,BUF,2016-09-11,2016,1,Questionable,foot,,
Shareece Wright,BAL,NYG,2016-10-16,2016,6,Questionable,back,,
Shareece Wright,BAL,NYJ,2016-10-23,2016,7,Doubtful,thigh,,
Shareece Wright,BAL,PIT,2016-11-06,2016,9,Doubtful,thigh,,
Shareece Wright,BAL,CLE,2016-11-10,2016,10,Out,thigh,,
Shareece Wright,BAL,DAL,2016-11-20,2016,11,Questionable,thigh,,
Shareece Wright,BUF,CIN,2017-10-08,2017,5,Questionable,Back,,
Shareece Wright,BUF,MIA,2017-12-31,2017,17,Out,Concussion,,
Shareece Wright,HOU,IND,2018-09-30,2018,4,Questionable,Shoulder,,
Shareece Wright,HOU,JAX,2018-10-21,2018,7,Out,Shoulder,,
Shareece Wright,HOU,MIA,2018-10-25,2018,8,Out,Shoulder,,
