Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Stacy Coley,NYG,NOR,2018-09-30,2018,4,Questionable,Hamstring,,
Stacy Coley,NYG,CAR,2018-10-07,2018,5,Injured Reserve,Hamstring,,
Stacy Coley,NYG,PHI,2018-10-11,2018,6,Injured Reserve,Hamstring,,
Stacy Coley,NYG,ATL,2018-10-22,2018,7,Injured Reserve,Hamstring,,
Stacy Coley,NYG,WAS,2018-10-28,2018,8,Injured Reserve,Hamstring,,
Stacy Coley,NYG,SFO,2018-11-12,2018,10,Injured Reserve,Hamstring,,
Stacy Coley,NYG,TAM,2018-11-18,2018,11,Injured Reserve,Hamstring,,
Stacy Coley,NYG,PHI,2018-11-25,2018,12,Injured Reserve,Hamstring,,
Stacy Coley,NYG,CHI,2018-12-02,2018,13,Injured Reserve,Hamstring,,
Stacy Coley,NYG,WAS,2018-12-09,2018,14,Injured Reserve,Hamstring,,
Stacy Coley,NYG,TEN,2018-12-16,2018,15,Injured Reserve,Hamstring,,
Stacy Coley,NYG,IND,2018-12-23,2018,16,Injured Reserve,Hamstring,,
Stacy Coley,NYG,DAL,2018-12-30,2018,17,Injured Reserve,Hamstring,,
