Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Sterling Shepard,NYG,DEN,2017-10-15,2017,6,Out,Ankle,,
Sterling Shepard,NYG,SEA,2017-10-22,2017,7,Questionable,Ankle,,
Sterling Shepard,NYG,WAS,2017-11-23,2017,12,Questionable,Illness,,
Sterling Shepard,NYG,DAL,2017-12-10,2017,14,Questionable,Hamstring,,
Sterling Shepard,NYG,WAS,2017-12-31,2017,17,Out,Neck,,
Sterling Shepard,NYG,BUF,2019-09-15,2019,2,Out,Concussion,,
Sterling Shepard,NYG,NWE,2019-10-10,2019,6,Out,Concussion,,
Sterling Shepard,NYG,ARI,2019-10-20,2019,7,Out,Concussion,,
Sterling Shepard,NYG,DET,2019-10-27,2019,8,Out,Concussion,,
Sterling Shepard,NYG,NYJ,2019-11-10,2019,10,Out,Concussion,,
Sterling Shepard,NYG,SFO,2020-09-27,2020,3,Injured Reserve,,,
Sterling Shepard,NYG,LAR,2020-10-04,2020,4,Injured Reserve,,,
Sterling Shepard,NYG,DAL,2020-10-11,2020,5,Injured Reserve,,,
Sterling Shepard,NYG,WAS,2020-10-18,2020,6,Injured Reserve,,,
Sterling Shepard,NYG,PHI,2020-10-22,2020,7,Injured Reserve,,,
