Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Steven Moore,BAL,BUF,2018-09-09,2018,1,Injured Reserve,Undisclosed,,
Steven Moore,BAL,CIN,2018-09-13,2018,2,Injured Reserve,Undisclosed,,
Steven Moore,BAL,DEN,2018-09-23,2018,3,Injured Reserve,Undisclosed,,
Steven Moore,BAL,PIT,2018-09-30,2018,4,Injured Reserve,Undisclosed,,
Steven Moore,BAL,CLE,2018-10-07,2018,5,Injured Reserve,Undisclosed,,
Steven Moore,BAL,TEN,2018-10-14,2018,6,Injured Reserve,Undisclosed,,
Steven Moore,BAL,NOR,2018-10-21,2018,7,Injured Reserve,Undisclosed,,
Steven Moore,BAL,CAR,2018-10-28,2018,8,Injured Reserve,Undisclosed,,
Steven Moore,BAL,PIT,2018-11-04,2018,9,Injured Reserve,Undisclosed,,
Steven Moore,BAL,CIN,2018-11-18,2018,11,Injured Reserve,Undisclosed,,
Steven Moore,BAL,OAK,2018-11-25,2018,12,Injured Reserve,Undisclosed,,
Steven Moore,BAL,ATL,2018-12-02,2018,13,Injured Reserve,Undisclosed,,
Steven Moore,BAL,KAN,2018-12-09,2018,14,Injured Reserve,Undisclosed,,
Steven Moore,BAL,TAM,2018-12-16,2018,15,Injured Reserve,Undisclosed,,
Steven Moore,BAL,LAC,2018-12-22,2018,16,Injured Reserve,Undisclosed,,
Steven Moore,BAL,CLE,2018-12-30,2018,17,Injured Reserve,Undisclosed,,
