Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
T.J. Lang,DET,CAR,2017-10-08,2017,5,Questionable,Back,,
T.J. Lang,DET,NOR,2017-10-15,2017,6,Questionable,Back,,
T.J. Lang,DET,CLE,2017-11-12,2017,10,Out,Concussion,,
T.J. Lang,DET,BAL,2017-12-03,2017,13,Questionable,Foot,,
T.J. Lang,DET,TAM,2017-12-10,2017,14,Questionable,Foot,,
T.J. Lang,DET,CHI,2017-12-16,2017,15,Questionable,Foot,,
T.J. Lang,DET,CIN,2017-12-24,2017,16,Doubtful,Foot,,
T.J. Lang,DET,SFO,2018-09-16,2018,2,Out,Back,,
T.J. Lang,DET,NWE,2018-09-23,2018,3,Questionable,Back,,
T.J. Lang,DET,GNB,2018-10-07,2018,5,Out,Concussion,,
T.J. Lang,DET,MIA,2018-10-21,2018,7,Questionable,Concussion,,
T.J. Lang,DET,MIN,2018-11-04,2018,9,Questionable,Hip,,
T.J. Lang,DET,CHI,2018-11-11,2018,10,Injured Reserve,Neck,,
T.J. Lang,DET,CAR,2018-11-18,2018,11,Injured Reserve,Neck,,
T.J. Lang,DET,CHI,2018-11-22,2018,12,Injured Reserve,Neck,,
T.J. Lang,DET,LAR,2018-12-02,2018,13,Injured Reserve,Neck,,
T.J. Lang,DET,ARI,2018-12-09,2018,14,Injured Reserve,Neck,,
T.J. Lang,DET,BUF,2018-12-16,2018,15,Injured Reserve,Neck,,
T.J. Lang,DET,MIN,2018-12-23,2018,16,Injured Reserve,Neck,,
T.J. Lang,DET,GNB,2018-12-30,2018,17,Injured Reserve,Neck,,
