Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
T.J. Logan,ARI,DET,2017-09-10,2017,1,Injured Reserve,Wrist,,
T.J. Logan,ARI,IND,2017-09-17,2017,2,Injured Reserve,Wrist,,
T.J. Logan,ARI,DAL,2017-09-25,2017,3,Injured Reserve,Wrist,,
T.J. Logan,ARI,SFO,2017-10-01,2017,4,Injured Reserve,Wrist,,
T.J. Logan,ARI,PHI,2017-10-08,2017,5,Injured Reserve,Wrist,,
T.J. Logan,ARI,TAM,2017-10-15,2017,6,Injured Reserve,Wrist,,
T.J. Logan,ARI,LAR,2017-10-22,2017,7,Injured Reserve,Wrist,,
T.J. Logan,ARI,SFO,2017-11-05,2017,9,Injured Reserve,Wrist,,
T.J. Logan,ARI,SEA,2017-11-09,2017,10,Injured Reserve,Wrist,,
T.J. Logan,ARI,HOU,2017-11-19,2017,11,Injured Reserve,Wrist,,
T.J. Logan,ARI,JAX,2017-11-26,2017,12,Injured Reserve,Wrist,,
T.J. Logan,ARI,LAR,2017-12-03,2017,13,Injured Reserve,Wrist,,
T.J. Logan,ARI,TEN,2017-12-10,2017,14,Injured Reserve,Wrist,,
T.J. Logan,ARI,WAS,2017-12-17,2017,15,Injured Reserve,Wrist,,
T.J. Logan,ARI,NYG,2017-12-24,2017,16,Injured Reserve,Wrist,,
T.J. Logan,ARI,SEA,2017-12-31,2017,17,Injured Reserve,Wrist,,
T.J. Logan,ARI,WAS,2018-09-09,2018,1,Questionable,Ankle,,
T.J. Logan,TAM,CAR,2019-10-13,2019,6,Questionable,Ankle,,
T.J. Logan,TAM,IND,2019-12-08,2019,14,Out,Thumb,,
T.J. Logan,TAM,DET,2019-12-15,2019,15,Injured Reserve,,,
T.J. Logan,TAM,HOU,2019-12-21,2019,16,Injured Reserve,,,
T.J. Logan,TAM,ATL,2019-12-29,2019,17,Injured Reserve,,,
T.J. Logan,TAM,NOR,2020-09-13,2020,1,Injured Reserve,,,
T.J. Logan,TAM,CAR,2020-09-20,2020,2,Injured Reserve,,,
T.J. Logan,TAM,DEN,2020-09-27,2020,3,Injured Reserve,,,
T.J. Logan,TAM,LAC,2020-10-04,2020,4,Injured Reserve,,,
T.J. Logan,TAM,CHI,2020-10-08,2020,5,Injured Reserve,,,
T.J. Logan,TAM,GNB,2020-10-18,2020,6,Injured Reserve,,,
T.J. Logan,TAM,LVR,2020-10-25,2020,7,Injured Reserve,,,
T.J. Logan,TAM,NYG,2020-11-02,2020,8,Injured Reserve,,,
T.J. Logan,TAM,NOR,2020-11-08,2020,9,Injured Reserve,,,
T.J. Logan,TAM,CAR,2020-11-15,2020,10,Injured Reserve,,,
T.J. Logan,TAM,LAR,2020-11-23,2020,11,Injured Reserve,,,
T.J. Logan,TAM,KAN,2020-11-29,2020,12,C19,,,
T.J. Logan,TAM,MIN,2020-12-13,2020,14,Injured Reserve,,,
