Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Tevin Coleman,ATL,GNB,2016-10-30,2016,8,Out,hamstring,,
Tevin Coleman,ATL,TAM,2016-11-03,2016,9,Out,hamstring,,
Tevin Coleman,ATL,PHI,2016-11-13,2016,10,Out,hamstring,,
Tevin Coleman,ATL,TAM,2017-12-18,2017,15,Out,Concussion,,
Tevin Coleman,SFO,CIN,2019-09-15,2019,2,Out,Ankle,,
Tevin Coleman,SFO,PIT,2019-09-22,2019,3,Out,Ankle,,
Tevin Coleman,SFO,CLE,2019-10-07,2019,5,Questionable,Ankle,,
Tevin Coleman,SFO,NYG,2020-09-27,2020,3,Out,Knee,,
Tevin Coleman,SFO,PHI,2020-10-04,2020,4,Injured Reserve,,,
Tevin Coleman,SFO,MIA,2020-10-11,2020,5,Injured Reserve,,,
Tevin Coleman,SFO,LAR,2020-10-18,2020,6,Injured Reserve,,,
Tevin Coleman,SFO,NWE,2020-10-25,2020,7,Injured Reserve,,,
Tevin Coleman,SFO,SEA,2020-11-01,2020,8,Injured Reserve,,,
Tevin Coleman,SFO,GNB,2020-11-05,2020,9,Out,Knee,,
Tevin Coleman,SFO,NOR,2020-11-15,2020,10,Out,Knee,,
Tevin Coleman,SFO,LAR,2020-11-29,2020,12,Out,Knee,,
