Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Tim Williams,BAL,CLE,2017-09-17,2017,2,Questionable,Illness,,
Tim Williams,BAL,CHI,2017-10-15,2017,6,Doubtful,Thigh,,
Tim Williams,BAL,MIN,2017-10-22,2017,7,Out,Thigh,,
Tim Williams,BAL,MIA,2017-10-26,2017,8,Doubtful,Thigh,,
Tim Williams,BAL,TEN,2017-11-05,2017,9,Questionable,Thigh,,
Tim Williams,BAL,GNB,2017-11-19,2017,11,Questionable,Thigh,,
Tim Williams,BAL,CLE,2018-10-07,2018,5,Out,Hamstring,,
Tim Williams,BAL,TEN,2018-10-14,2018,6,Questionable,Hamstring,,
Tim Williams,BAL,PIT,2018-11-04,2018,9,Out,Ankle,,
Tim Williams,BAL,CIN,2018-11-18,2018,11,Out,Ankle,,
Tim Williams,BAL,OAK,2018-11-25,2018,12,Questionable,Ankle,,
Tim Williams,BAL,ATL,2018-12-02,2018,13,Questionable,Illness,,
Tim Williams,BAL,KAN,2018-12-09,2018,14,Questionable,Ankle,,
Tim Williams,BAL,TAM,2018-12-16,2018,15,Questionable,Ankle,,
