Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Trenton Cannon,NYJ,HOU,2018-12-15,2018,15,Questionable,Toe,,
Trenton Cannon,NYJ,NWE,2019-09-22,2019,3,Questionable,Ankle,,
Trenton Cannon,NYJ,DAL,2019-10-13,2019,6,Doubtful,Foot,,
Trenton Cannon,NYJ,NWE,2019-10-21,2019,7,Doubtful,Foot,,
Trenton Cannon,NYJ,JAX,2019-10-27,2019,8,Out,Foot,,
Trenton Cannon,NYJ,MIA,2019-11-03,2019,9,Injured Reserve,,,
Trenton Cannon,NYJ,NYG,2019-11-10,2019,10,Injured Reserve,,,
Trenton Cannon,NYJ,WAS,2019-11-17,2019,11,Injured Reserve,,,
Trenton Cannon,NYJ,OAK,2019-11-24,2019,12,Injured Reserve,,,
Trenton Cannon,NYJ,CIN,2019-12-01,2019,13,Injured Reserve,,,
Trenton Cannon,NYJ,MIA,2019-12-08,2019,14,Injured Reserve,,,
Trenton Cannon,NYJ,BAL,2019-12-12,2019,15,Injured Reserve,,,
Trenton Cannon,NYJ,PIT,2019-12-22,2019,16,Injured Reserve,,,
Trenton Cannon,NYJ,BUF,2019-12-29,2019,17,Injured Reserve,,,
