Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Trevor Davis,GNB,JAX,2016-09-11,2016,1,Doubtful,shoulder,,
Trevor Davis,GNB,MIN,2016-09-18,2016,2,Questionable,shoulder,,
Trevor Davis,GNB,CHI,2018-09-09,2018,1,Injured Reserve,Hamstring,,
Trevor Davis,GNB,MIN,2018-09-16,2018,2,Injured Reserve,Hamstring,,
Trevor Davis,GNB,WAS,2018-09-23,2018,3,Injured Reserve,Hamstring,,
Trevor Davis,GNB,BUF,2018-09-30,2018,4,Injured Reserve,Hamstring,,
Trevor Davis,GNB,DET,2018-10-07,2018,5,Injured Reserve,Hamstring,,
Trevor Davis,GNB,SFO,2018-10-15,2018,6,Injured Reserve,Hamstring,,
Trevor Davis,GNB,LAR,2018-10-28,2018,8,Injured Reserve,Hamstring,,
Trevor Davis,GNB,NWE,2018-11-04,2018,9,Injured Reserve,Hamstring,,
Trevor Davis,GNB,MIA,2018-11-11,2018,10,Injured Reserve,Hamstring,,
Trevor Davis,GNB,ARI,2018-12-02,2018,13,Out,Hamstring,,
Trevor Davis,GNB,ATL,2018-12-09,2018,14,Injured Reserve,Hamstring,,
Trevor Davis,GNB,CHI,2018-12-16,2018,15,Injured Reserve,Hamstring,,
Trevor Davis,GNB,NYJ,2018-12-23,2018,16,Injured Reserve,Hamstring,,
Trevor Davis,GNB,DET,2018-12-30,2018,17,Injured Reserve,Hamstring,,
Trevor Davis,MIA,NYJ,2019-12-08,2019,14,Out,Not Injury Related,,
