Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Trevor Siemian,DEN,TAM,2016-10-02,2016,4,day-to-day,sprained  shoulder,,
Trevor Siemian,DEN,ATL,2016-10-09,2016,5,Questionable, shoulder,,
Trevor Siemian,DEN,SDG,2016-10-13,2016,6,Questionable, shoulder,,
Trevor Siemian,DEN,HOU,2016-10-24,2016,7,day-to-day,sprained  shoulder,,
Trevor Siemian,DEN,SDG,2016-10-30,2016,8,day-to-day,sprained  shoulder,,
Trevor Siemian,DEN,OAK,2016-11-06,2016,9,day-to-day,sprained  shoulder,,
Trevor Siemian,DEN,NOR,2016-11-13,2016,10,day-to-day,sprained  shoulder,,
Trevor Siemian,DEN,KAN,2016-11-27,2016,12,day-to-day,sprained  shoulder,,
Trevor Siemian,DEN,JAX,2016-12-04,2016,13,Out,sprained  foot,,
Trevor Siemian,DEN,TEN,2016-12-11,2016,14,Questionable,foot,,
Trevor Siemian,DEN,NWE,2016-12-18,2016,15,day-to-day,sprained  shoulder,,
Trevor Siemian,DEN,KAN,2016-12-25,2016,16,day-to-day,sprained  shoulder,,
Trevor Siemian,DEN,OAK,2017-01-01,2016,17,day-to-day,sprained  shoulder,,
Trevor Siemian,DEN,WAS,2017-12-24,2017,16,Injured Reserve,Shoulder,,
Trevor Siemian,DEN,KAN,2017-12-31,2017,17,Injured Reserve,Shoulder,,
Trevor Siemian,NYJ,NWE,2019-09-22,2019,3,Injured Reserve,,,
Trevor Siemian,NYJ,PHI,2019-10-06,2019,5,Injured Reserve,,,
Trevor Siemian,NYJ,DAL,2019-10-13,2019,6,Injured Reserve,,,
Trevor Siemian,NYJ,NWE,2019-10-21,2019,7,Injured Reserve,,,
Trevor Siemian,NYJ,JAX,2019-10-27,2019,8,Injured Reserve,,,
Trevor Siemian,NYJ,MIA,2019-11-03,2019,9,Injured Reserve,,,
Trevor Siemian,NYJ,NYG,2019-11-10,2019,10,Injured Reserve,,,
Trevor Siemian,NYJ,WAS,2019-11-17,2019,11,Injured Reserve,,,
Trevor Siemian,NYJ,OAK,2019-11-24,2019,12,Injured Reserve,,,
Trevor Siemian,NYJ,CIN,2019-12-01,2019,13,Injured Reserve,,,
Trevor Siemian,NYJ,MIA,2019-12-08,2019,14,Injured Reserve,,,
Trevor Siemian,NYJ,BAL,2019-12-12,2019,15,Injured Reserve,,,
Trevor Siemian,NYJ,PIT,2019-12-22,2019,16,Injured Reserve,,,
Trevor Siemian,NYJ,BUF,2019-12-29,2019,17,Injured Reserve,,,
