Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Trey Burton,PHI,CLE,2016-09-11,2016,1,Questionable,calf,,
Trey Burton,PHI,ATL,2016-11-13,2016,10,Questionable,hamstring,,
Trey Burton,PHI,CHI,2017-11-26,2017,12,Questionable,Back,,
Trey Burton,CHI,GNB,2019-09-05,2019,1,Questionable,Groin,,
Trey Burton,CHI,DEN,2019-09-15,2019,2,Questionable,Groin,,
Trey Burton,CHI,WAS,2019-09-23,2019,3,Questionable,Groin,,
Trey Burton,CHI,MIN,2019-09-29,2019,4,Questionable,Groin,,
Trey Burton,CHI,LAR,2019-11-17,2019,11,Out,Calf,,
Trey Burton,CHI,NYG,2019-11-24,2019,12,Injured Reserve,,,
Trey Burton,CHI,DET,2019-11-28,2019,13,Injured Reserve,,,
Trey Burton,CHI,DAL,2019-12-05,2019,14,Injured Reserve,,,
Trey Burton,CHI,GNB,2019-12-15,2019,15,Injured Reserve,,,
Trey Burton,CHI,KAN,2019-12-22,2019,16,Injured Reserve,,,
Trey Burton,CHI,MIN,2019-12-29,2019,17,Injured Reserve,,,
Trey Burton,IND,JAX,2020-09-13,2020,1,Injured Reserve,,,
Trey Burton,IND,MIN,2020-09-20,2020,2,Injured Reserve,,,
Trey Burton,IND,NYJ,2020-09-27,2020,3,Injured Reserve,,,
Trey Burton,IND,CHI,2020-10-04,2020,4,Injured Reserve,,,
