Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Trysten Hill,DAL,WAS,2020-10-25,2020,7,Injured Reserve,,,
Trysten Hill,DAL,PHI,2020-11-01,2020,8,Injured Reserve,,,
Trysten Hill,DAL,PIT,2020-11-08,2020,9,Injured Reserve,,,
Trysten Hill,DAL,MIN,2020-11-22,2020,11,Injured Reserve,,,
Trysten Hill,DAL,WAS,2020-11-26,2020,12,Injured Reserve,,,
Trysten Hill,DAL,BAL,2020-12-08,2020,13,Injured Reserve,,,
Trysten Hill,DAL,CIN,2020-12-13,2020,14,Injured Reserve,,,
Trysten Hill,DAL,SFO,2020-12-20,2020,15,Injured Reserve,,,
Trysten Hill,DAL,PHI,2020-12-27,2020,16,Injured Reserve,,,
Trysten Hill,DAL,NYG,2021-01-03,2020,17,Injured Reserve,,,
