Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Tyler Kroft,CIN,HOU,2016-12-24,2016,16,Out,"knee, ankle",,
Tyler Kroft,CIN,BAL,2017-01-01,2016,17,Doubtful,"knee, ankle",,
Tyler Kroft,CIN,PIT,2018-10-14,2018,6,Injured Reserve,Foot,,
Tyler Kroft,CIN,KAN,2018-10-21,2018,7,Injured Reserve,Foot,,
Tyler Kroft,CIN,TAM,2018-10-28,2018,8,Injured Reserve,Foot,,
Tyler Kroft,CIN,NOR,2018-11-11,2018,10,Injured Reserve,Foot,,
Tyler Kroft,CIN,BAL,2018-11-18,2018,11,Out,Foot,,
Tyler Kroft,CIN,CLE,2018-11-25,2018,12,Injured Reserve,Foot,,
Tyler Kroft,CIN,DEN,2018-12-02,2018,13,Injured Reserve,Foot,,
Tyler Kroft,CIN,LAC,2018-12-09,2018,14,Injured Reserve,Foot,,
Tyler Kroft,CIN,OAK,2018-12-16,2018,15,Injured Reserve,Foot,,
Tyler Kroft,CIN,CLE,2018-12-23,2018,16,Injured Reserve,Foot,,
Tyler Kroft,CIN,PIT,2018-12-30,2018,17,Injured Reserve,Foot,,
Tyler Kroft,BUF,NYJ,2019-09-08,2019,1,Doubtful,Foot,,
Tyler Kroft,BUF,NYG,2019-09-15,2019,2,Questionable,Foot,,
Tyler Kroft,BUF,CIN,2019-09-22,2019,3,Out,Foot,,
Tyler Kroft,BUF,NWE,2019-09-29,2019,4,Out,Ankle,,
Tyler Kroft,BUF,TEN,2019-10-06,2019,5,Out,Ankle,,
Tyler Kroft,BUF,ARI,2020-11-15,2020,10,C19,,,
Tyler Kroft,BUF,MIA,2021-01-03,2020,17,C19,,,
