Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Vernon Butler,CAR,DEN,2016-09-08,2016,1,Questionable,hand,,
Vernon Butler,CAR,ATL,2016-10-02,2016,4,Out,ankle,,
Vernon Butler,CAR,TAM,2016-10-10,2016,5,Out,ankle,,
Vernon Butler,CAR,NOR,2016-10-16,2016,6,Out,ankle,,
Vernon Butler,CAR,ARI,2016-10-30,2016,8,Out,ankle,,
Vernon Butler,CAR,LAR,2016-11-06,2016,9,Out,ankle,,
Vernon Butler,CAR,KAN,2016-11-13,2016,10,Questionable,ankle,,
Vernon Butler,CAR,SFO,2017-09-10,2017,1,Doubtful,Knee,,
Vernon Butler,CAR,GNB,2019-11-10,2019,10,Questionable,Back,,
Vernon Butler,CAR,IND,2019-12-22,2019,16,Questionable,Illness,,
Vernon Butler,BUF,NYJ,2020-09-13,2020,1,Questionable,Hamstring,,
Vernon Butler,BUF,NWE,2020-11-01,2020,8,Questionable,Groin,,
Vernon Butler,BUF,SEA,2020-11-08,2020,9,Questionable,Groin,,
