Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Vincent Jackson,TAM,SFO,2016-10-23,2016,7,Injured Reserve,Knee,,
Vincent Jackson,TAM,OAK,2016-10-30,2016,8,Injured Reserve,Knee,,
Vincent Jackson,TAM,ATL,2016-11-03,2016,9,Injured Reserve,Knee,,
Vincent Jackson,TAM,CHI,2016-11-13,2016,10,Injured Reserve,Knee,,
Vincent Jackson,TAM,KAN,2016-11-20,2016,11,Injured Reserve,Knee,,
Vincent Jackson,TAM,SEA,2016-11-27,2016,12,Injured Reserve,Knee,,
Vincent Jackson,TAM,SDG,2016-12-04,2016,13,Injured Reserve,Knee,,
Vincent Jackson,TAM,NOR,2016-12-11,2016,14,Injured Reserve,Knee,,
Vincent Jackson,TAM,DAL,2016-12-18,2016,15,Injured Reserve,Knee,,
Vincent Jackson,TAM,NOR,2016-12-24,2016,16,Injured Reserve,Knee,,
Vincent Jackson,TAM,CAR,2017-01-01,2016,17,Injured Reserve,Knee,,
