Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Vincent Taylor,MIA,BUF,2017-12-31,2017,17,Injured Reserve,Knee,,
Vincent Taylor,MIA,NYJ,2018-11-04,2018,9,Injured Reserve,Foot,,
Vincent Taylor,MIA,GNB,2018-11-11,2018,10,Injured Reserve,Foot,,
Vincent Taylor,MIA,IND,2018-11-25,2018,12,Injured Reserve,Foot,,
Vincent Taylor,MIA,BUF,2018-12-02,2018,13,Injured Reserve,Foot,,
Vincent Taylor,MIA,NWE,2018-12-09,2018,14,Injured Reserve,Foot,,
Vincent Taylor,MIA,MIN,2018-12-16,2018,15,Injured Reserve,Foot,,
Vincent Taylor,MIA,JAX,2018-12-23,2018,16,Injured Reserve,Foot,,
Vincent Taylor,MIA,BUF,2018-12-30,2018,17,Injured Reserve,Foot,,
Vincent Taylor,CLE,TEN,2020-12-06,2020,13,Questionable,Knee,,
