Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Yodny Cajuste,NWE,PIT,2019-09-08,2019,1,Injured Reserve,,,
Yodny Cajuste,NWE,MIA,2019-09-15,2019,2,Injured Reserve,,,
Yodny Cajuste,NWE,NYJ,2019-09-22,2019,3,Injured Reserve,,,
Yodny Cajuste,NWE,BUF,2019-09-29,2019,4,Injured Reserve,,,
Yodny Cajuste,NWE,WAS,2019-10-06,2019,5,Injured Reserve,,,
Yodny Cajuste,NWE,NYG,2019-10-10,2019,6,Injured Reserve,,,
Yodny Cajuste,NWE,NYJ,2019-10-21,2019,7,Injured Reserve,,,
Yodny Cajuste,NWE,CLE,2019-10-27,2019,8,Injured Reserve,,,
Yodny Cajuste,NWE,BAL,2019-11-03,2019,9,Injured Reserve,,,
Yodny Cajuste,NWE,PHI,2019-11-17,2019,11,Injured Reserve,,,
Yodny Cajuste,NWE,DAL,2019-11-24,2019,12,Injured Reserve,,,
Yodny Cajuste,NWE,HOU,2019-12-01,2019,13,Injured Reserve,,,
Yodny Cajuste,NWE,KAN,2019-12-08,2019,14,Injured Reserve,,,
Yodny Cajuste,NWE,CIN,2019-12-15,2019,15,Injured Reserve,,,
Yodny Cajuste,NWE,BUF,2019-12-21,2019,16,Injured Reserve,,,
Yodny Cajuste,NWE,MIA,2019-12-29,2019,17,Injured Reserve,,,
Yodny Cajuste,NWE,MIA,2020-09-13,2020,1,Out,Knee,,
Yodny Cajuste,NWE,BAL,2020-11-15,2020,10,Injured Reserve,,,
