Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Deone Bucannon,ARI,DET,2017-09-10,2017,1,Out,Ankle,,
Aaron Dobson,ARI,DET,2017-09-10,2017,1,Injured Reserve,Hamstring,,
Alani Fua,ARI,DET,2017-09-10,2017,1,Injured Reserve,Knee,,
Mike Iupati,ARI,DET,2017-09-10,2017,1,Questionable,Tricep,,
Jarvis Jones,ARI,DET,2017-09-10,2017,1,Injured Reserve,Quadricep,,
T.J. Logan,ARI,DET,2017-09-10,2017,1,Injured Reserve,Wrist,,
Gabe Martin,ARI,DET,2017-09-10,2017,1,Injured Reserve,Achilles,,
Robert Nkemdiche,ARI,DET,2017-09-10,2017,1,Questionable,Calf,,
Ronald Zamort,ARI,DET,2017-09-10,2017,1,Injured Reserve,Knee,,
John Brown,ARI,IND,2017-09-17,2017,2,Out,Quadricep,,
Deone Bucannon,ARI,IND,2017-09-17,2017,2,Doubtful,Ankle,,
Aaron Dobson,ARI,IND,2017-09-17,2017,2,Injured Reserve,Hamstring,,
Alani Fua,ARI,IND,2017-09-17,2017,2,Injured Reserve,Knee,,
Jermaine Gresham,ARI,IND,2017-09-17,2017,2,Questionable,Ribs,,
D.J. Humphries,ARI,IND,2017-09-17,2017,2,Out,Knee,,
Mike Iupati,ARI,IND,2017-09-17,2017,2,Injured Reserve,Tricep,,
David Johnson,ARI,IND,2017-09-17,2017,2,Injured Reserve,Wrist,,
Jarvis Jones,ARI,IND,2017-09-17,2017,2,Injured Reserve,Quadricep,,
T.J. Logan,ARI,IND,2017-09-17,2017,2,Injured Reserve,Wrist,,
Gabe Martin,ARI,IND,2017-09-17,2017,2,Injured Reserve,Achilles,,
Troy Niklas,ARI,IND,2017-09-17,2017,2,Questionable,Hip,,
Robert Nkemdiche,ARI,IND,2017-09-17,2017,2,Questionable,Calf,,
Ronald Zamort,ARI,IND,2017-09-17,2017,2,Injured Reserve,Knee,,
John Brown,ARI,DAL,2017-09-25,2017,3,Out,Quadricep,,
Deone Bucannon,ARI,DAL,2017-09-25,2017,3,Questionable,Ankle,,
Aaron Dobson,ARI,DAL,2017-09-25,2017,3,Injured Reserve,Hamstring,,
Alani Fua,ARI,DAL,2017-09-25,2017,3,Injured Reserve,Knee,,
Jermaine Gresham,ARI,DAL,2017-09-25,2017,3,Questionable,Ribs,,
D.J. Humphries,ARI,DAL,2017-09-25,2017,3,Out,Knee,,
Mike Iupati,ARI,DAL,2017-09-25,2017,3,Injured Reserve,Tricep,,
David Johnson,ARI,DAL,2017-09-25,2017,3,Injured Reserve,Wrist,,
Jarvis Jones,ARI,DAL,2017-09-25,2017,3,Injured Reserve,Quadricep,,
T.J. Logan,ARI,DAL,2017-09-25,2017,3,Injured Reserve,Wrist,,
Gabe Martin,ARI,DAL,2017-09-25,2017,3,Injured Reserve,Achilles,,
JJ Nelson,ARI,DAL,2017-09-25,2017,3,Questionable,Hamstring,,
Ronald Zamort,ARI,DAL,2017-09-25,2017,3,Injured Reserve,Knee,,
Alex Boone,ARI,SFO,2017-10-01,2017,4,Out,Chest,,
John Brown,ARI,SFO,2017-10-01,2017,4,Questionable,Quadricep,,
Aaron Dobson,ARI,SFO,2017-10-01,2017,4,Injured Reserve,Hamstring,,
Alani Fua,ARI,SFO,2017-10-01,2017,4,Injured Reserve,Knee,,
D.J. Humphries,ARI,SFO,2017-10-01,2017,4,Questionable,Knee,,
Mike Iupati,ARI,SFO,2017-10-01,2017,4,Injured Reserve,Tricep,,
David Johnson,ARI,SFO,2017-10-01,2017,4,Injured Reserve,Wrist,,
Jarvis Jones,ARI,SFO,2017-10-01,2017,4,Injured Reserve,Quadricep,,
T.J. Logan,ARI,SFO,2017-10-01,2017,4,Injured Reserve,Wrist,,
Gabe Martin,ARI,SFO,2017-10-01,2017,4,Injured Reserve,Achilles,,
JJ Nelson,ARI,SFO,2017-10-01,2017,4,Questionable,Hamstring,,
Robert Nkemdiche,ARI,SFO,2017-10-01,2017,4,Out,Calf,,
Ronald Zamort,ARI,SFO,2017-10-01,2017,4,Injured Reserve,Knee,,
Alex Boone,ARI,PHI,2017-10-08,2017,5,Questionable,Chest,,
John Brown,ARI,PHI,2017-10-08,2017,5,Questionable,Quadricep,,
Aaron Dobson,ARI,PHI,2017-10-08,2017,5,Injured Reserve,Hamstring,,
